  0   0             0.000000
  0   1  	     -79.989176
  0   2  	       3.106443
  0   3  	      -5.325264
  0   4  	       5.099629
  0   5  	     -14.277139
  0   6  	      -7.519361
  0   7  	      21.206539
  1   0  	     -79.989176
  1   1  	       0.000000
  1   2  	      25.613113
  1   3  	       6.744681
  1   4  	       0.369022
  1   5  	       7.974864
  1   6  	       2.609012
  1   7  	       2.996388
  2   0  	       3.106443
  2   1  	      25.613113
  2   2  	       0.000000
  2   3  	     -44.042188
  2   4  	       0.209273
  2   5  	      -5.768121
  2   6  	       3.157171
  2   7  	       0.775983
  3   0  	      -5.325264
  3   1  	       6.744681
  3   2  	     -44.042188
  3   3  	       0.000000
  3   4  	     -56.526494
  3   5  	     -12.056118
  3   6  	     -51.204392
  3   7  	      -1.131288
  4   0  	       5.099629
  4   1  	       0.369022
  4   2  	       0.209273
  4   3  	     -56.526494
  4   4  	       0.000000
  4   5  	      59.235470
  4   6  	       1.936802
  4   7  	       2.885772
  5   0  	     -14.277139
  5   1  	       7.974864
  5   2  	      -5.768121
  5   3  	     -12.056118
  5   4  	      59.235470
  5   5  	       0.000000
  5   6  	      23.008478
  5   7  	      -7.709278
  6   0  	      -7.519361
  6   1  	       2.609012
  6   2  	       3.157171
  6   3  	     -51.204392
  6   4  	       1.936802
  6   5  	      23.008478
  6   6  	       0.000000
  6   7  	      -8.441491
  7   0  	      21.206539
  7   1  	       2.996388
  7   2  	       0.775983
  7   3  	      -1.131288
  7   4  	       2.885772
  7   5  	      -7.709278
  7   6  	      -8.441491
  7   7  	       0.000000
